"# of Use","# of Use"
"%s Item(s)","%s m&#7863;t h&agrave;ng"
"Are you sure you would like to remove this item from the compare products?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n mu&#7889;n xo&aacute; b&#7887; m&#7909;c n&agrave;y kh&#7887;i so s&aacute;nh s&#7843;n ph&#7849;m?"
"Are you sure?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n kh&ocirc;ng?"
"As low as:","&#272;&#7841;i l&yacute;:"
"Assign","G&aacute;n"
"Assign product link","Ch&#7881; &#273;&#7883;nh li&ecirc;n k&#7871;t s&#7843;n ph&#7849;m"
"Assign product to category","G&aacute;n cho danh m&#7909;c s&#7843;n ph&#7849;m"
"Assigned Products","S&#7843;n ph&#7849;m &#273;&#432;&#7907;c giao"
"Associated Products","S&#7843;n ph&#7849;m li&ecirc;n quan"
"Attrib. Set Name","Nh&oacute;m thu&#7897;c t&iacute;nh"
"Attribute Code","M&atilde; s&#7889; thu&#7897;c t&iacute;nh"
"Attribute Information","Th&ocirc;ng tin thu&#7897;c t&iacute;nh"
"Attribute Label","Nh&atilde;n thu&#7897;c t&iacute;nh"
"Attribute Model","Model thu&#7897;c t&iacute;nh"
"Attribute Name:","T&ecirc;n thu&#7897;c t&iacute;nh:"
"Attribute Properties","C&#7845;u h&igrave;nh thu&#7897;c t&iacute;nh"
"Attribute Set","&#272;&#7863;t thu&#7897;c t&iacute;nh"
"Attribute model not defined","Model thu&#7897;c t&iacute;nh  kh&ocirc;ng x&aacute;c &#273;&#7883;nh"
"Attribute with the same code already exists","Thu&#7897;c t&iacute;nh v&#7899;i c&ugrave;ng m&#7897;t m&atilde; &#273;&atilde; t&#7891;n t&#7841;i"
"Attributes","Thu&#7897;c t&iacute;nh"
"Attrribute names can be specified per store.","t&ecirc;n thu&#7897;c t&iacute;nh c&oacute; th&#7875; &#273;&#432;&#7907;c ch&#7881; &#273;&#7883;nh cho m&#7895;i c&#7917;a h&agrave;ng."
"Autogenerate","T&#7921; &#273;&#7897;ng t&#7841;o ra"
"Availability: In stock.","Tr&#7841;ng th&aacute;i: C&ograve;n h&agrave;ng"
"Availability","C&ograve;n h&agrave;ng"
"Availability: Out of stock.","Tr&#7841;ng th&aacute;i: H&#7871;t h&agrave;ng."
"Availability:", "Tr&#7841;ng th&aacute;i: "
"In stock.", "C&ograve;n h&agrave;ng"
"Out of stock", "H&#7871;t h&agrave;ng"
"Back","Quay l&#7841;i"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Backorders","Backorders"
"Base directory to upload image file is not specified","C&#417; s&#7903; th&#432; m&#7909;c &#273;&#7875; t&#7843;i l&ecirc;n t&#7879;p tin h&igrave;nh &#7843;nh kh&ocirc;ng x&aacute;c &#273;&#7883;nh"
"Based On","Based On"
"Best Value","Tốt nhất"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Browse By","M&#7903; theo"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mua tr&ecirc;n %1$s Gi&aacute; c&ograve;n %2$s (%3$s incl. tax) "
"Buy %1$s for %2$s each","Mua tr&ecirc;n %1$s Gi&aacute; c&ograve;n %2$s "
"Buy %s for %s","Mua tr&ecirc;n %s Gi&aacute; c&ograve;n %s"
"Buy %s for %s each","Mua tr&ecirc;n %s Gi&aacute; c&ograve;n %s "
"Can be used only with catalog input type Dropdown","C&oacute; th&#7875; &#273;&#432;&#7907;c s&#7917; d&#7909;ng ch&#7881; v&#7899;i m&#7909;c nh&#7853;p lo&#7841;i dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","C&oacute; th&#7875; &#273;&#432;&#7907;c s&#7917; d&#7909;ng ch&#7881; v&#7899;i m&#7909;c nh&#7853;p lo&#7841;i dropdown, Nhi&#7873;u Ch&#7885;n v&agrave; Gi&aacute;"
"Can\'t create image.","Can\'t create image."
"Cart Item Attribute","Cart Item Attribute"
"Catalog","Nhóm sản phẩm"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Catalog Inventory","S&#7843;n ph&#7849;m t&#7891;n kho"
"Catalog Price Scope","S&#7843;n ph&#7849;m gi&aacute; ph&#7841;m vi"
"Catalog, Search","Search entire store here"
"Categories","Nhóm sản phẩm"
"Categories Sitemap","Categories Sitemap"
"Category","Nhóm sản phẩm"
"Category API","Category API"
"Category Data","Category Data"
"Category Navigation:","Danh mục"
"Category Products","Danh mục sản phẩm"
"Category Top Navigation","Danh mục chính"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Category delete error"
"Category deleted","Category deleted"
"Category move error","Category move error"
"Category saved","Category saved"
"Change","Thay đổi"
"Change status","Thay &#273;&#7893;i tr&#7841;ng th&aacute;i"
"Check items to add to the cart or", "Ch&#7885;n s&#7843;n ph&#7849;m mu&#7889;n mua ho&#7863;c"
"Choose an Option...","Chọn một tùy chọn..."
"Choose option...","Choose option..."
"Clear All","X&oacute;a h&#7871;t"
"Clear All Items","X&oacute;a h&#7871;t c&aacute;c m&#7863;t h&agrave;ng"
"Close Window","&#272;&oacute;ng c&#7917;a s&#7893;"
"Comparable","So s&aacute;nh"
"Comparable on Front-end","Comparable on Front-end"
"Compare Items","So s&aacute;nh"
"Compare Products","So s&aacute;nh s&#7843;n ph&#7849;m"
"Compare Products - %d Items","So s&aacute;nh - %d M&#7863;t h&agrave;ng"
"Compare Products List","Danh s&aacute;ch s&#7843;n ph&#7849;m so s&aacute;nh"
"Compare list successfully cleared","X&oacute;a th&agrave;nh c&ocirc;ng danh s&aacute;ch so s&aacute;nh"
"Conditions Combination","K&#7871;t h&#7907;p c&aacute;c &#273;i&#7873;u ki&#7879;n"
"Configurable Product","Sản phẩm nâng cao"
"Configurable Product Settings","C&agrave;i &#273;&#7863;t c&#7845;u h&igrave;nh s&#7843;n ph&#7849;m"
"Continue","Ti&#7871;p t&#7909;c"
"Bestsller Products","Mua nhi&#7873;u nh&#7845;t"
"Copy From Configurable","Sao ch&eacute;p t&#7915; c&#7845;u h&igrave;nh"
"Create","T&#7841;o m&#7899;i"
"Create (Upload)","T&#7841;o m&#7899;i (Upload)"
"Create Empty","T&#7841;o r&#7895;ng"
"Create Product Settings","T&#7841;o ra s&#7843;n ph&#7849;m c&agrave;i &#273;&#7863;t"
"Create Simple Associated Product","T&#7841;o li&ecirc;n k&#7871;t s&#7843;n ph&#7849;m &#273;&#417;n gi&#7843;n"
"Create new category","T&#7841;o m&#7899;i nh&oacute;m s&#7843;n ph&#7849;m"
"Create new product","T&#7841;o s&#7843;n ph&#7849;m m&#7899;i"
"Cross-sells","Cross-sells"
"Currently Shopping by","B&#7841;n &#273;ang t&igrave;m theo"
"Custom Design"," Tu&#7923; ch&#7881;nh thi&#7871;t k&#7871;"
"Custom Options","Tu&#7923; ch&#7881;nh L&#7921;a ch&#7885;n"
"Customer Group","Tu&#7923; ch&#7881;nh nh&oacute;m"
"Customers Reviews","Kh&aacute;ch h&agrave;ng Nh&#7853;n X&eacute;t"
"Customers Tagged Product","Tagged s&#7843;n ph&#7849;m c&#7911;a kh&aacute;ch h&agrave;ng "
"Customers for alert %s was successfuly added to queue","Customers for alert %s was successfuly added to queue"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Date","Date"
"Date Subscribed","Ng&agrave;y &#273;&#259;ng k&yacute;"
"Datetime","Datetime"
"Decimal","Decimal"
"Decimal Number","Decimal Number"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Qty","S&#7889; l&#432;&#7907;ng chu&#7849;n"
"Default Values","Gi&aacute; tr&#7883; chu&#7849;n"
"Default price","Lo&#7841;i ti&#7873;n chu&#7849;n"
"Default value","Gi&aacute; tr&#7883; chu&#7849;n"
"Delete","X&oacute;a"
"Delete Attribute","X&oacute;a thu&#7897;c t&iacute;nh n&agrave;y"
"Delete Attribute Set","X&oacute;a nh&oacute;m thu&#7897;c t&iacute;nh n&agrave;y"
"Delete Category","X&oacute;a nh&oacute;m s&#7843;n ph&#7849;m"
"Delete Option","X&oacute;a t&ugrave;y ch&#7885;n"
"Delete Row","X&oacute;a d&ograve;ng"
"Delete Search","X&oacute;a t&igrave;m ki&#7871;m"
"Delete Selected Group","Delete Selected Group"
"Delete category","X&oacute;a nh&oacute;m s&#7843;n ph&#7849;m"
"Delete product","X&oacute;a s&#7843;n ph&#7849;m"
"Design","Giao di&#7879;n"
"Disabled","Disabled"
"Display in Suggested Terms","Display in Suggested Terms"
"Double click on a group to rename it","Click hai l&#7847;n &#273;&#7875; xem &#273;&#7893;i t&ecirc;n"
"Double click on above image to view full picture","Click hai l&#7847;n &#273;&#7875; xem nhanh h&igrave;nh l&#7899;n"
"Dropdown","Dropdown"
"Duplicate","Duplicate"
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Edit","Sửa"
"Edit Attribute Set '%s'","Sửa nhóm thuộc tính '%s'"
"Edit Product Attribute","S&#7917;a thu&#7897;c t&iacute;nh"
"Edit Product Attribute ""%s""","S&#7917;a thu&#7897;c t&iacute;nh t&ecirc;n ""%s"""
"Edit Search","S&#7917;a t&igrave;m ki&#7871;m"
"Edit Search '%s'","S&#7917;a t&igrave;m ki&#7871;m t&ecirc;n '%s'"
"Email","Email"
"Email to a Friend","G&#7903;i email"
"Empty","Tr&#7889;ng r&#7895;ng"
"Enabled","Hiệu lực"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error while adding customers for %s alert. Message: %s","Error while adding customers for %s alert. Message: %s"
"Error while saving this group. Group with the same name already exists.","Error while saving this group. Group with the same name already exists."
"Error while saving this group. Please try again later.","Error while saving this group. Please try again later."
"Excl. Tax:","VAT:"
"Exclude","Exclude"
"Failed","Failed"
"Failed to move file: %s","Failed to move file: %s"
"Feature Products","S&#7843;n ph&#7849;m n&#7893;i b&#7853;t"
"File Extension","File Extension"
"Filter model name must be declared","Filter model name must be declared"
"Filter must be as object. Set correct filter please","Filter must be as object. Set correct filter please"
"Filterable (no results)","Filterable (no results)"
"Filterable (with results)","Filterable (with results)"
"Filters must be as array","Filters must be as array"
"First Name","First Name"
"Fixed","Fixed"
"For internal use. Must be unique with no spaces","For internal use. Must be unique with no spaces"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Frontend"
"Frontend Model","Frontend Model"
"Frontend Properties","C&#7845;u h&igrave;nh cho Frontend"
"Gallery","Gallery"
"General Information","Th&ocirc;ng tin chung"
"Get special price","Get special price"
"Global","To&agrave;n h&#7879; th&#7889;ng"
"Globally Editable","Globally Editable"
"Go to Home Page","Quay l&#7841;i trang ch&#7911;"
"Grid","Grid"
"Grouped Product","Sản phẩm nhóm"
"Groups","Nh&oacute;m"
"home","Home"
"ID","ID"
"If you do not specify an option value for a store then the default value will be used.","If you do not specify an option value for a store then the default value will be used."
"Image","H&igrave;nh"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Image file not found"
"Image not exists","Image not exists"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Stock","C&ograve;n h&agrave;ng"
"In stock","C&ograve;n h&agrave;ng"
"Incl. Tax","VAT"
"Incl. Tax:","VAT:"
"Input Type","Input Type"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer","Integer"
"Integer Number","Integer Number"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid block: %s","Invalid block: %s"
"Invalid category IDs","Invalid category IDs"
"Invalid image file type","Invalid image file type"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid product type specified, skipping the record","Invalid product type specified, skipping the record"
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Inventory","Inventory"
"Is Default","L&agrave;m m&#7863;c &#273;&#7883;nh"
"Is Required","B&#7855;t bu&#7897;c ph&#7843;i ch&#7885;n"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Label","Label"
"Last Name","Last Name"
"Last Notification","Last Notification"
"Learn More","Learn More"
"Length of text is too long","Length of text is too long"
"Letters","Letters"
"Letters(a-zA-Z) or Numbers(0-9)","Letters(a-zA-Z) or Numbers(0-9)"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","List"
"List Mode","List Mode"
"Manage Attribute Sets","Qu&#7843;n l&yacute; nh&oacute;m thu&#7897;c t&iacute;nh"
"Manage Attributes","Qu&#7843;n l&yacute; thu&#7897;c t&iacute;nh"
"Manage Catalog Categories","Qu&#7843;n l&yacute; nh&oacute;m s&#7843;n ph&#7849;m"
"Manage Categories","Qu&#7843;n l&yacute; nh&oacute;m s&#7843;n ph&#7849;m"
"Manage Label / Options","T&ecirc;n v&agrave; c&#7845;u h&igrave;nh th&ocirc;ng tin"
"Manage Options (values of your attribute)","T&ugrave;y ch&#7885;n cho thu&#7897;c t&iacute;nh ( l&agrave; t&ugrave;y ch&#7885;n nh&#432; size: X, L,M hay m&agrave;u: tr&#7855;ng, xanh...)"
"Manage Product Attributes","Qu&#7843;n l&yacute; thu&#7897;c t&iacute;nh s&#7843;n ph&#7849;m"
"Manage Product Sets","Qu&#7843;n l&yacute; nh&oacute;m thu&#7897;c t&iacute;nh s&#7843;n ph&#7849;m"
"Manage Products","Qu&#7843;n l&yacute; s&#7843;n ph&#7849;m"
"Manage Stock","Qu&#7843;n l&yacute; kho"
"Manage Titles (Size, Color, etc.)","T&ecirc;n thu&#7897;c t&iacute;nh (v&iacute; d&#7909;: M&agrave;u s&#7855;c, H&atilde;ng s&#7843;n xu&#7845;t...)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Qty Allowed in Shopping Cart","S&#7889; l&#432;&#7907;ng cho ph&eacute;p t&#7889;i &#273;a khi th&ecirc;m v&agrave;o gi&#7887; h&agrave;ng"
"Maximum number of characters","Maximum number of characters"
"Media Image","Media Image"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record","Missing SKU, skipping the record"
"More Views","Xem th&ecirc;m"
"Move","Di chuy&#7875;n"
"Move category in tree","Move category in tree"
"Multiple Select","Multiple Select"
"Name","T&ecirc;n s&#7843;n ph&#7849;m"
"Name In %s","Name In %s"
"Name<br/>(For internal use)","Name<br/>(For internal use)"
"New Category","Nhóm sản phẩm mới"
"New Product","S&#7843;n ph&#7849;m m&#7899;i"
"New Product Attribute","New Product Attribute"
"New Products","S&#7843;n ph&#7849;m m&#7899;i"
"New Search","New Search"
"New Set Name","New Set Name"
"Next","Ti&#7871;p"
"No","No"
"No image","Kh&ocirc;ng c&oacute; h&igrave;nh"
"No layout updates","No layout updates"
"No options of this product are available.","No options of this product are available."
"No product collections found","No product collections found"
"None","None"
"Not shared with other products","Not shared with other products"
"Notify Low Stock RSS","Notify Low Stock RSS"
"Notify for Quantity Below","Notify for Quantity Below"
"Nowhere","Kh&ocirc;ng hi&#7875;n th&#7883;"
"Number of Uses","Number of Uses"
"Number of results<br/>(For last time placed)","Number of results<br/>(For last time placed)"
"OR","Ho&#7863;c"
"Old Price:","Gi&aacute; c&#361;:"
"Option:","T&ugrave;y ch&#7885;n:"
"Options Control","Options Control"
"Options is required","Options is required"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Our customer service is available 24/7. Call us at (84-8) 5009409."
"Out of Stock","&#272;&atilde; h&#7871;t h&agrave;ng"
"Out of stock","&#272;&atilde; h&#7871;t h&agrave;ng"
"Out of stock.","&#272;&atilde; h&#7871;t h&agrave;ng."
"Page Title Separator","Page Title Separator"
"Page:","Trang:"
"Parent Category","Danh m&#7909;c s&#7843;n ph&#7849;m"
"Pending","&#272;ang x&#7917; l&yacute;"
"Pending Reviews RSS","Pending Reviews RSS"
"Percentage","Percentage"
"Please click on Close Window button if it won\'t be closed automatically","Please click on Close Window button if it won\'t be closed automatically"
"Please enter a new group name","Please enter a new group name"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select one or more attributes.","Please select one or more attributes."
"Please select product(s)","Please select product(s)"
"Please select products for attributes update","Please select products for attributes update"
"Please select static block ...","Please select static block ..."
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Vui l&ograve;ng ch&#7885;n c&aacute;c t&ugrave;y ch&#7885;n c&#7847;n thi&#7871;t cho s&#7843;n ph&#7849;m c&#7847;n mua"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Position","Th&#7913; t&#7921; hi&#7875;n th&#7883;"
"Position In Layered Navigation","Th&#7913; t&#7921; hi&#7875;n th&#7883; trong layered"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","Trang tr&#432;&#7899;c"
"Previous","Trang tr&#432;&#7899;c"
"Price Type","Lo&#7841;i ti&#7873;n"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Price:","Gi&aacute; b&aacute;n:"
"Print This Page","In trang n&agrave;y"
"Problem saving the collection, aborting. Error: %s","Qu&aacute; tr&igrave;nh l&#432;u data b&#7883; l&#7895;i, Kh&ocirc;ng th&#7921;c hi&#7879;n th&agrave;nh c&ocirc;ng do l&#7895;i t&#7841;i:: %s"
"Product","S&#7843;n ph&#7849;m"
"Product %s successfully added to compare list","S&#7843;n ph&#7849;m %s &#272;&atilde; th&ecirc;m v&agrave;o danh s&aacute;ch so s&aacute;nh s&#7843;n ph&#7849;m c&#7911;a b&#7841;n"
"Product %s successfully removed from compare list","S&#7843;n ph&#7849;m %s &#272;&atilde; lo&#7841;i b&#7887; kh&#7887;i danh s&aacute;ch so s&aacute;nh"
"Product API","Product API"
"Product Alerts","Th&ocirc;ng b&aacute;o s&#7843;n ph&#7849;m"
"Product Attribute","Thu&#7897;c t&iacute;nh s&#7843;n ph&#7849;m"
"Product Categories","Nh&oacute;m s&#7843;n ph&#7849;m"
"Product Description","Th&ocirc;ng tin m&ocirc; t&#7843;"
"Product Image Placeholders","Product Image Placeholders"
"Product Image Watermarks","Ghi d&#7845;u b&#7843;n quy&#7873;n cho h&igrave;nh"
"Product Images","H&igrave;nh s&#7843;n ph&#7849;m"
"Product Images API","Product Images API"
"Product In Websites","Product In Websites"
"Product Info Column","Product Info Column"
"Product Information","Th&ocirc;ng tin s&#7843;n ph&#7849;m"
"Product Name","T&ecirc;n s&#7843;n ph&#7849;m"
"Product Reviews","Ý kiến đánh giá sản phẩm"
"Product Tags","Tags cho s&#7843;n ph&#7849;m"
"Product Tier Price API","Product Tier Price API"
"Product Type","Lo&#7841;i s&#7843;n ph&#7849;m"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Product attribute was successfully deleted"
"Product attribute was successfully saved","Product attribute was successfully saved"
"Product attributes API","Product attributes API"
"Product collection expected","Product collection expected"
"Product deleted","S&#7843;n ph&#7849;m &#273;&atilde; b&#7883; x&oacute;a"
"Product duplicated","Copy s&#7843;n ph&#7849;m"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product saving error.","Product saving error."
"Product types API","Product types API"
"Product was successfully created.","Product was successfully created."
"Product was successfully saved.","Product was successfully saved."
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Products","S&#7843;n ph&#7849;m"
"Products Information","Th&ocirc;ng tin s&#7843;n ph&#7849;m"
"Products Reviews","Th&#7843;o lu&#7853;n cho s&#7843;n ph&#7849;m"
"Products Sitemap","Sitemap cho s&#7843;n ph&#7849;m"
"Products only","Ch&#7881; c&oacute; s&#7843;n ph&#7849;m"
"Products per Page on Grid default value","S&#7889; s&#7843;n ph&#7849;m hi&#7875;n th&#7883; t&#7841;i ch&#7871; &#273;&#7897; Grid"
"Products per Page on List default value","S&#7889; s&#7843;n ph&#7849;m hi&#7875;n th&#7883; t&#7841;i ch&#7871; &#273;&#7897; List"
"Properties","C&#7845;u h&igrave;nh"
"Qty","S&#7889; l&#432;&#7907;ng"
"Qty Uses Decimals","Qty Uses Decimals"
"Quick Create","T&#7841;o nhanh"
"Quick Overview","Gi&#7899;i thi&#7879;u"
"Thanh toan","<a href="http://www.magentovietnam.com/phuong-thuc-thanh-toan target="_blank">Ph&#432;&#417;ng th&#7913;c thanh to&aacute;n</a>"
"Huong dan"," -  <a href="http://www.magentovietnam.com/huong-dan-dat-hang target="_blank">H&#432;&#7899;ng d&#7851;n &#273;&#7863;t h&agrave;ng</a>"
"Quick simple product creation","Quick simple product creation"
"Records for ""","Records for """
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","Gi&aacute; c&#361;:"
"Related Products","S&#7843;n ph&#7849;m c&ugrave;ng lo&#7841;i"
"Remove","Lo&#7841;i b&#7887;"
"Remove Product","Lo&#7841;i b&#7887; s&#7843;n ph&#7849;m"
"Remove Product From Websites","Lo&#7841;i b&#7887; m&#7863;t h&agrave;ng kh&#7887;i websites"
"Remove This Item","Lo&#7841;i b&#7887; m&#7863;t h&agrave;ng n&agrave;y"
"Remove product assignment","Remove product assignment"
"Remove product image","Lo&#7841;i b&#7887; h&igrave;nh s&#7843;n ph&#7849;m"
"Remove product link","Lo&#7841;i b&#7887; link s&#7843;n ph&#7849;m"
"Required","Y&ecirc;u c&#7847;u nh&#7853;p th&ocirc;ng tin"
"Reset","L&agrave;m l&#7841;i"
"Results","T&#7893;ng s&#7889;"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Review successfully deleted"
"Review was saved successfully","Review was saved successfully"
"Review was successfully saved","Review was successfully saved"
"Reviews","B&igrave;nh lu&#7853;n"
"Roll Over for preview","Roll Over for preview"
"Root","Root"
"SKU","M&atilde; s&#7843;n ph&#7849;m"
"Save","L&#432;u"
"Save And Continue Edit","L&#432;u v&agrave; s&#7917;a ti&#7871;p"
"Save Attribute","L&#432;u thu&#7897;c t&iacute;nh n&agrave;y"
"Save Attribute Set","L&#432;u nh&oacute;m thu&#7897;c t&iacute;nh n&agrave;y"
"Save Category","L&#432;u nh&oacute;m s&#7843;n ph&#7849;m"
"Save Search","L&#432;u t&igrave;m ki&#7871;m"
"Saved ","L&#432;u l&#7841;i "
"Scope","Scope"
"Search","Tìm kiếm"
"Search Engine Optimizations","M&atilde; h&oacute;a link"
"Search Information","Th&ocirc;ng tin t&igrave;m ki&#7871;m"
"Search Query","Search Query"
"Search Term was successfully saved","Search Term was successfully saved"
"Search Term with such search query already exist.","Search Term with such search query already exist."
"Search was successfully deleted","Search was successfully deleted"
"Searchable","Searchable"
"Select Configurable Attributes ","Select Configurable Attributes "
"Select type of option","Select type of option"
"Selected Product Types","Selected Product Types"
"Send Count","Send Count"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Set Name","Set Name"
"Set Root Category For Store","Set Root Category For Store"
